"","Allsymbols"
"1","AAMC"
"2","AAU"
"3","ABE"
"4","ACU"
"5","ACY"
"6","ADK"
"7","ADK-PA"
"8","AE"
"9","AIII"
"10","AINC"
"11","AIRI"
"12","AKG"
"13","ALN"
"14","ALO"
"15","AMPE"
"16","AMS"
"17","APHB"
"18","APT"
"19","ARNC-P"
"20","ASM"
"21","AST"
"22","ATEST"
"23","ATNM"
"24","AUMN"
"25","AUXO"
"26","AWX"
"27","AXN"
"28","AXU"
"29","BAA"
"30","BCV"
"31","BCV-PA"
"32","BDL"
"33","BDR"
"34","BFY"
"35","BGI"
"36","BGSF"
"37","BHB"
"38","BHV"
"39","BKJ"
"40","BLE"
"41","BLJ"
"42","BPMX"
"43","BRG"
"44","BRG-PA"
"45","BRG-PC"
"46","BRG-PD"
"47","BRN"
"48","BTG"
"49","BTI"
"50","BTN"
"51","BTX"
"52","BVX"
"53","BZM"
"54","CANF"
"55","CAW"
"56","CCA"
"57","CCF"
"58","CEF"
"59","CEI"
"60","CET"
"61","CEV"
"62","CH"
"63","CIK"
"64","CIX"
"65","CKX"
"66","CLM"
"67","CMT"
"68","CPHI"
"69","CQH"
"70","CQP"
"71","CRF"
"72","CRHM"
"73","CRMD"
"74","CRVP"
"75","CTO"
"76","CUO"
"77","CVM"
"78","CVR"
"79","CVRS"
"80","CVU"
"81","DGSE"
"82","DHY"
"83","DIT"
"84","DLA"
"85","DMF"
"86","DNN"
"87","DPW"
"88","DSS"
"89","DXR"
"90","EAD"
"91","ECF"
"92","EGAS"
"93","EGI"
"94","EIA"
"95","EIM"
"96","EIO"
"97","EIP"
"98","EIV"
"99","ELLO"
"100","ELMD"
"101","EMAN"
"102","EMI"
"103","EMJ"
"104","EMX"
"105","ENRJ"
"106","ENSV"
"107","ENX"
"108","EPM"
"109","ERC"
"110","ERH"
"111","ERN"
"112","ESNC"
"113","ESP"
"114","EVBN"
"115","EVI"
"116","EVJ"
"117","EVM"
"118","EVO"
"119","EVP"
"120","EVV"
"121","EVY"
"122","FAX"
"123","FCO"
"124","FEN"
"125","FPP"
"126","FRD"
"127","FSI"
"128","FSP"
"129","FTF"
